No,FieldIndex,Piece,TargetYN,ListYN,IsLeaf,SourceType,IsEnum,MaxChars,Title,Description,Rules,Depth,L1,L2,L3,L4,L5,L6,L7,Idx,Type
1,protocolSection,ProtocolSection,Y,N,N,STRUCT,N,,Protocol Section,,,1,protocolSection,,,,,,,1,STRUCT - ProtocolSection
2,protocolSection.identificationModule,IdentificationModule,Y,N,N,STRUCT,N,,Identification Module,,,2,protocolSection,identificationModule,,,,,,1.1,STRUCT - IdentificationModule
3,protocolSection.identificationModule.nctId,NCTId,Y,N,Y,TEXT,N,11,National Clinical Trial (NCT) Identification Number,"The unique identification code given to each clinical study upon registration at ClinicalTrials.gov. The format is ""NCT"" followed by an 8-digit number. Also known as ClinicalTrials.gov Identifier",Generated by PRS when a study is published initially,3,protocolSection,identificationModule,nctId,,,,,1.1.1,TEXT (max 11 chars) - nct
4,protocolSection.identificationModule.nctIdAliases,NCTIdAlias,N,Y,Y,TEXT,N,,Obsolete or duplicate NCT that's associated with a published NCT,"Identifier(s) that are considered ""Obsolete"" or ""Duplicate"". No study is displayed on public site. Request is redirected/forwarded to another NCT Identifier",,3,protocolSection,identificationModule,nctIdAliases,,,,,1.1.1,TEXT - nct[]
5,protocolSection.identificationModule.orgStudyIdInfo,OrgStudyIdInfo,Y,N,N,STRUCT,N,,,,,3,protocolSection,identificationModule,orgStudyIdInfo,,,,,1.1.1,STRUCT - OrgStudyIdInfo
6,protocolSection.identificationModule.orgStudyIdInfo.id,OrgStudyId,Y,N,Y,TEXT,N,30,Organization's Unique Protocol Identification Number,,"Required for INT/OBS/EA. DP can enter ""Unknown"" or ""TBD"" and Ingest strips those value and marks them as [Missing]",4,protocolSection,identificationModule,orgStudyIdInfo,id,,,,1.1.1.1,TEXT (max 30 chars) - text
7,protocolSection.identificationModule.orgStudyIdInfo.type,OrgStudyIdType,Y,N,Y,TEXT,Y,,Organization Id Type,Type of organization's unique protocol ID,,4,protocolSection,identificationModule,orgStudyIdInfo,type,,,,1.1.1.1,TEXT - OrgStudyIdType
8,protocolSection.identificationModule.orgStudyIdInfo.link,OrgStudyIdLink,Y,N,Y,TEXT,N,,Organization ID Link,"URL link based on OrgStudyId and OrgStudyIdType input in PRS, include system-generated links to NIH RePORTER, specifically (associated with the types of federal funding identified as OrgStudyIdType)",,4,protocolSection,identificationModule,orgStudyIdInfo,link,,,,1.1.1.1,TEXT - text
9,protocolSection.identificationModule.secondaryIdInfos,SecondaryIdInfo,N,Y,N,STRUCT,N,,,,,3,protocolSection,identificationModule,secondaryIdInfos,,,,,1.1.1,STRUCT - SecondaryIdInfo[]
10,protocolSection.identificationModule.secondaryIdInfos.id,SecondaryId,N,N,Y,TEXT,N,30,Secondary ID,,"If the clinical study is funded in whole or in part by a U.S. Federal Government agency, the complete grant or contract number must be submitted as a Secondary ID.
 Optional if Expanded Access Type is ""Individual Patients""",4,protocolSection,identificationModule,secondaryIdInfos,id,,,,1.1.1.1,TEXT (max 30 chars) - text
11,protocolSection.identificationModule.secondaryIdInfos.type,SecondaryIdType,N,N,Y,TEXT,Y,,Secondary ID Type,,Required if there is Secondary ID,4,protocolSection,identificationModule,secondaryIdInfos,type,,,,1.1.1.1,TEXT - SecondaryIdType
12,protocolSection.identificationModule.secondaryIdInfos.domain,SecondaryIdDomain,N,N,Y,TEXT,N,119,Secondary ID Description based on ID Type selected,,"If a Secondary ID Type of ""Other Grant/Funding Number,"" ""Registry Identifier,"" or ""Other Identifier"" is selected, provide the name of the funding organization, clinical trial registry, or organization that issued the identifier.",4,protocolSection,identificationModule,secondaryIdInfos,domain,,,,1.1.1.1,TEXT (max 119 chars) - text
13,protocolSection.identificationModule.secondaryIdInfos.link,SecondaryIdLink,N,N,Y,TEXT,N,,Secondary ID Link,"URL link based on SecondaryId and SecondaryIdType, including system-generated links to NIH RePORTER, specifically (associated with the types of federal funding identified as SecondaryIdType)",,4,protocolSection,identificationModule,secondaryIdInfos,link,,,,1.1.1.1,TEXT - text
14,protocolSection.identificationModule.briefTitle,BriefTitle,Y,N,Y,TEXT,N,300,Brief Title,,Required for INT/OBS/EA. Has to be unique in PRS,3,protocolSection,identificationModule,briefTitle,,,,,1.1.1,TEXT (max 300 chars) - text
15,protocolSection.identificationModule.officialTitle,OfficialTitle,Y,N,Y,TEXT,N,600,Official Title,,"Required for INT/OBS if Study Start Date is on or after Final Rule Effective Date (FRED). Optional for EA if EA type is ""Individual Patients""",3,protocolSection,identificationModule,officialTitle,,,,,1.1.1,TEXT (max 600 chars) - text
16,protocolSection.identificationModule.acronym,Acronym,N,N,Y,TEXT,N,14,Acronym,,,3,protocolSection,identificationModule,acronym,,,,,1.1.1,TEXT (max 14 chars) - text
17,protocolSection.identificationModule.organization,Organization,Y,N,N,STRUCT,N,,,,,3,protocolSection,identificationModule,organization,,,,,1.1.1,STRUCT - Organization
18,protocolSection.identificationModule.organization.fullName,OrgFullName,Y,N,Y,TEXT,N,,Organization Full Name,A (registered) organization (typically the Responsible Party) that sponsors the clinical trial (study),Provided as part of User Information or Organization Information in a PRS Account,4,protocolSection,identificationModule,organization,fullName,,,,1.1.1.1,TEXT - text
19,protocolSection.identificationModule.organization.class,OrgClass,Y,N,Y,TEXT,Y,,Organization type,Organization type,Redacted for Withheld studies,4,protocolSection,identificationModule,organization,class,,,,1.1.1.1,TEXT - AgencyClass
20,protocolSection.statusModule,StatusModule,N,N,N,STRUCT,N,,Status Module,,,2,protocolSection,statusModule,,,,,,1.1,STRUCT - StatusModule
21,protocolSection.statusModule.statusVerifiedDate,StatusVerifiedDate,N,N,Y,DATE,N,,Record Verification Date,,Required for INT/OBS/EA,3,protocolSection,statusModule,statusVerifiedDate,,,,,1.1.1,DATE - PartialDate
22,protocolSection.statusModule.overallStatus,OverallStatus,N,N,Y,TEXT,Y,,Overall Recruitment Status or Expanded Access Status,,"Required for INT/OBS/EA.
 Withheld studies are a special case where a FDA-regulated device product is not yet approved or cleared by U.S. FDA (DelayedPosting). It's a system generated status.
 Withheld study has the following text for Recruitment Status
 This trial has been identified as being associated with a clinical device that has not been approved or cleared by the US Food and Drug Administration. Under the terms of US Public Law 110-85, Title VIII, Section 801, the details of this study are not available to the public.",3,protocolSection,statusModule,overallStatus,,,,,1.1.1,TEXT - Status
23,protocolSection.statusModule.lastKnownStatus,LastKnownStatus,N,N,Y,TEXT,Y,,Last Known Status,"A study on ClinicalTrials.gov whose last known status was recruiting; not yet recruiting; or active, not recruiting but that has passed its completion date, and the status has not been last verified within the past 2 years.","The study's current recruitment status is ""Unknown Status""",3,protocolSection,statusModule,lastKnownStatus,,,,,1.1.1,TEXT - Status
24,protocolSection.statusModule.delayedPosting,DelayedPosting,N,N,Y,BOOLEAN,N,,Delayed Posting,,,3,protocolSection,statusModule,delayedPosting,,,,,1.1.1,BOOLEAN - boolean
25,protocolSection.statusModule.whyStopped,WhyStopped,N,N,Y,MARKUP,N,,Reason why a study stopped,,,3,protocolSection,statusModule,whyStopped,,,,,1.1.1,MARKUP - markup
26,protocolSection.statusModule.expandedAccessInfo,ExpandedAccessInfo,N,N,N,STRUCT,N,,Expanded Access Info,EA study info related to an INT/OBS study. Is in the Study Status module for an EA record and in the Oversight module for a study that has EA,,3,protocolSection,statusModule,expandedAccessInfo,,,,,1.1.1,STRUCT - ExpandedAccessInfo
27,protocolSection.statusModule.expandedAccessInfo.hasExpandedAccess,HasExpandedAccess,N,N,Y,TEXT,N,,Has EA for compassionate use,,,4,protocolSection,statusModule,expandedAccessInfo,hasExpandedAccess,,,,1.1.1.1,TEXT - boolean
28,protocolSection.statusModule.expandedAccessInfo.nctId,ExpandedAccessNCTId,N,N,Y,TEXT,N,,NCT of an EA study,,,4,protocolSection,statusModule,expandedAccessInfo,nctId,,,,1.1.1.1,TEXT - nct
29,protocolSection.statusModule.expandedAccessInfo.statusForNctId,ExpandedAccessStatusForNCTId,N,N,Y,TEXT,Y,,EA Recruitment Status,recruitment status of the EA study that's linked to INT/OBS,,4,protocolSection,statusModule,expandedAccessInfo,statusForNctId,,,,1.1.1.1,TEXT - ExpandedAccessStatus
30,protocolSection.statusModule.startDateStruct,StartDateStruct,N,N,N,STRUCT,N,,,,,3,protocolSection,statusModule,startDateStruct,,,,,1.1.1,STRUCT - PartialDateStruct
31,protocolSection.statusModule.startDateStruct.date,StartDate,N,N,Y,DATE,N,,Study Start Date,,"Required for INT/OBS that are FRED. Day is not required in PRS when date type is Anticipated. Redacted for Withheld studies
 Some EA studies have Study Start Date even though it's not mentioned in the DED and there are no FE input fields in PRS for EA (possibly switched from INT to EA at some point).",4,protocolSection,statusModule,startDateStruct,date,,,,1.1.1.1,DATE - PartialDate
32,protocolSection.statusModule.startDateStruct.type,StartDateType,N,N,Y,TEXT,Y,,Study Start Date Type,Date Type,Required for INT/OBS that are FRED. Redacted for Withheld studies,4,protocolSection,statusModule,startDateStruct,type,,,,1.1.1.1,TEXT - DateType
33,protocolSection.statusModule.primaryCompletionDateStruct,PrimaryCompletionDateStruct,N,N,N,STRUCT,N,,,,,3,protocolSection,statusModule,primaryCompletionDateStruct,,,,,1.1.1,STRUCT - PartialDateStruct
34,protocolSection.statusModule.primaryCompletionDateStruct.date,PrimaryCompletionDate,N,N,Y,DATE,N,,Primary Completion Date,,"Required for INT/OBS. However, some older INT and OBS studies do not have Primary Completion Date.
 Some EA studies has Primary Completion Date/Type even though they are not in DED and there are no FE input fields in PRS
 Day is not required if Date Type is Anticipated",4,protocolSection,statusModule,primaryCompletionDateStruct,date,,,,1.1.1.1,DATE - PartialDate
35,protocolSection.statusModule.primaryCompletionDateStruct.type,PrimaryCompletionDateType,N,N,Y,TEXT,Y,,Primary Completion Date Type,,,4,protocolSection,statusModule,primaryCompletionDateStruct,type,,,,1.1.1.1,TEXT - DateType
36,protocolSection.statusModule.completionDateStruct,CompletionDateStruct,N,N,N,STRUCT,N,,,,,3,protocolSection,statusModule,completionDateStruct,,,,,1.1.1,STRUCT - PartialDateStruct
37,protocolSection.statusModule.completionDateStruct.date,CompletionDate,N,N,Y,DATE,N,,Study Completion Date,,Required for INT/OBS that are FRED,4,protocolSection,statusModule,completionDateStruct,date,,,,1.1.1.1,DATE - PartialDate
38,protocolSection.statusModule.completionDateStruct.type,CompletionDateType,N,N,Y,TEXT,Y,,Study Completion Date Type,,,4,protocolSection,statusModule,completionDateStruct,type,,,,1.1.1.1,TEXT - DateType
39,protocolSection.statusModule.studyFirstSubmitDate,StudyFirstSubmitDate,N,N,Y,DATE,N,,Study First Submitted Date,The date on which the study sponsor or investigator first submitted a study record to ClinicalTrials.gov. There is typically a delay of a few days between the first submitted date and the record's availability on ClinicalTrials.gov (the first posted date).,System generated,3,protocolSection,statusModule,studyFirstSubmitDate,,,,,1.1.1,DATE - NormalizedDate
40,protocolSection.statusModule.studyFirstSubmitQcDate,StudyFirstSubmitQCDate,N,N,Y,DATE,N,,Study First Submission Date that Met QC Criteria,The date on which the study sponsor or investigator first submits a study record that is consistent with National Library of Medicine (NLM) quality control (QC) review criteria. The sponsor or investigator may need to revise and submit a study record one or more times before NLM's QC review criteria are met. It is the responsibility of the sponsor or investigator to ensure that the study record is consistent with the NLM QC review criteria.,System generated,3,protocolSection,statusModule,studyFirstSubmitQcDate,,,,,1.1.1,DATE - NormalizedDate
41,protocolSection.statusModule.studyFirstPostDateStruct,StudyFirstPostDateStruct,N,N,N,STRUCT,N,,,,,3,protocolSection,statusModule,studyFirstPostDateStruct,,,,,1.1.1,STRUCT - DateStruct
