[1] NCTID: NCT03899961, PMID: 34745566, PMCID: 8561611
[2] NCTID: NCT03378635, PMID: 35239971, PMCID: 8247529
[3] NCTID: NCT04468321, PMID: 35234659, PMCID: 8719216
[4] NCTID: NCT03781726, PMID: 35155863, PMCID: 8820987
[5] NCTID: NCT03547167, PMID: 35146039, PMCID: 8826015
[6] NCTID: NCT02323854, PMID: 35070367, PMCID: 8743408
[7] NCTID: NCT03544229, PMID: 34967147, PMCID: 9303893
[8] NCTID: NCT04598165, PMID: 34949631, PMCID: 9066367
[9] NCTID: NCT04041414, PMID: 34949171, PMCID: 8696968
[10] NCTID: NCT02427958, PMID: 34941067, PMCID: 8702188
[11] NCTID: NCT03679247, PMID: 34937722, PMCID: 8705218
[12] NCTID: NCT04501952, PMID: 34937145, PMCID: 8757570
[13] NCTID: NCT02542410, PMID: 34934987, PMCID: 8655411
[14] NCTID: NCT04973488, PMID: 34934447, PMCID: 8652389
[15] NCTID: NCT03201419, PMID: 34932192, PMCID: 9098619
[16] NCTID: NCT04323800, PMID: 34931202, PMCID: 8687473
[17] NCTID: NCT03036293, PMID: 34930979, PMCID: 8688518
[18] NCTID: NCT04916587, PMID: 34930500, PMCID: 8685798
[19] NCTID: NCT02679807, PMID: 34927036, PMCID: 8649651
[20] NCTID: NCT01302379, PMID: 34920739, PMCID: 8684118
[21] NCTID: NCT02555254, PMID: 34920723, PMCID: 8680374
[22] NCTID: NCT04195594, PMID: 34918971, PMCID: 8972001
[23] NCTID: NCT02487654, PMID: 34915187, PMCID: 8976158
[24] NCTID: NCT00195091, PMID: 34911956, PMCID: 8674260
[25] NCTID: NCT04588480, PMID: 34907170, PMCID: 8671474
[26] NCTID: NCT02252588, PMID: 34903538, PMCID: 8672026
[27] NCTID: NCT03052517, PMID: 34895218, PMCID: 8666007
[28] NCTID: NCT02864381, PMID: 34893523, PMCID: 8666898
[29] NCTID: NCT01966471, PMID: 34890214, PMCID: 8824393
[30] NCTID: NCT02823652, PMID: 34890045, PMCID: 8917095
[31] NCTID: NCT04358549, PMID: 34888401, PMCID: 8651156
[32] NCTID: NCT03047928, PMID: 34887574, PMCID: 8904254
[33] NCTID: NCT04279392, PMID: 34887285, PMCID: 8663101
[34] NCTID: NCT02137499, PMID: 34880620, PMCID: 8647721
[35] NCTID: NCT03019588, PMID: 34878659, PMCID: 9299889
[36] NCTID: NCT01590433, PMID: 34867786, PMCID: 8635796
[37] NCTID: NCT04473326, PMID: 34862289, PMCID: 8647547
[38] NCTID: NCT03337724, PMID: 34860318, PMCID: 8831286
[39] NCTID: NCT03970590, PMID: 34855617, PMCID: 8686408
[40] NCTID: NCT04356963, PMID: 34848527, PMCID: 8634353
[41] NCTID: NCT04652102, PMID: 34826381, PMCID: 8610426
[42] NCTID: NCT02132247, PMID: 34826122, PMCID: 8755675
[43] NCTID: NCT02380859, PMID: 34823572, PMCID: 8620921
[44] NCTID: NCT04776161, PMID: 34819291, PMCID: 8614132
[45] NCTID: NCT04324073, PMID: 34812424, PMCID: 8598187
[46] NCTID: NCT04492722, PMID: 34805632, PMCID: 8589691
[47] NCTID: NCT04796909, PMID: 34805034, PMCID: 8604024
[48] NCTID: NCT03634813, PMID: 34802471, PMCID: 8607702
[49] NCTID: NCT03388164, PMID: 34798853, PMCID: 8603485
[50] NCTID: NCT04150250, PMID: 34793441, PMCID: 8639072
[51] NCTID: NCT00977431, PMID: 34787778, PMCID: 8651574
[52] NCTID: NCT03587207, PMID: 34787449, PMCID: 8597725
[53] NCTID: NCT03995225, PMID: 34783663, PMCID: 8663689
[54] NCTID: NCT01876212, PMID: 34782430, PMCID: 8593702
[55] NCTID: NCT03426995, PMID: 34773923, PMCID: 9300116
[56] NCTID: NCT03275350, PMID: 34758887, PMCID: 8579672
[57] NCTID: NCT01781637, PMID: 34755130, PMCID: 8563412
[58] NCTID: NCT02861014, PMID: 34748672, PMCID: 9299209
[59] NCTID: NCT03947983, PMID: 34747701, PMCID: 8663490
[60] NCTID: NCT04124536, PMID: 34735862, PMCID: 8644317
[61] NCTID: NCT04435795, PMID: 34728476, PMCID: 8561042
[62] NCTID: NCT02628093, PMID: 34724584, PMCID: 9085677
[63] NCTID: NCT04084392, PMID: 34717736, PMCID: 8556830
[64] NCTID: NCT04234984, PMID: 34716965, PMCID: 9299475
[65] NCTID: NCT03988335, PMID: 34716902, PMCID: 8611156
[66] NCTID: NCT03803683, PMID: 34715833, PMCID: 8554516
[67] NCTID: NCT03261401, PMID: 34715032, PMCID: 8612936
[68] NCTID: NCT03346057, PMID: 34711192, PMCID: 8555093
[69] NCTID: NCT04098276, PMID: 34711182, PMCID: 8554998
[70] NCTID: NCT03136861, PMID: 34707696, PMCID: 8544765
[71] NCTID: NCT04181307, PMID: 34704959, PMCID: 8581753
[72] NCTID: NCT00976573, PMID: 34703985, PMCID: 8526905
[73] NCTID: NCT03228836, PMID: 34702811, PMCID: 8548511
[74] NCTID: NCT03959423, PMID: 34694909, PMCID: 8971997
[75] NCTID: NCT04456634, PMID: 34694880, PMCID: 8765294
[76] NCTID: NCT03310775, PMID: 34690837, PMCID: 8526555
[77] NCTID: NCT03697161, PMID: 34690787, PMCID: 8531725
[78] NCTID: NCT04568031, PMID: 34688944, PMCID: 8531242
[79] NCTID: NCT03303105, PMID: 34687446, PMCID: 8626354
[80] NCTID: NCT02951156, PMID: 34687398, PMCID: 8613117
[81] NCTID: NCT01954082, PMID: 34686832, PMCID: 9023615
[82] NCTID: NCT03718871, PMID: 34678199, PMCID: 8562591
[83] NCTID: NCT02153944, PMID: 34675189, PMCID: 8531440
[84] NCTID: NCT03170388, PMID: 34674160, PMCID: 8776677
[85] NCTID: NCT02740231, PMID: 34666767, PMCID: 8527807
[86] NCTID: NCT03571256, PMID: 34661664, PMCID: 8524312
[87] NCTID: NCT01068210, PMID: 34658160, PMCID: 8718021
[88] NCTID: NCT03416920, PMID: 34657825, PMCID: 8577401
[89] NCTID: NCT04864691, PMID: 34650509, PMCID: 8506001
[90] NCTID: NCT04560075, PMID: 34647893, PMCID: 8554670
[91] NCTID: NCT01999868, PMID: 34643650, PMCID: 8515260
[92] NCTID: NCT02981602, PMID: 34642494, PMCID: 8516644
[93] NCTID: NCT02313272, PMID: 34642366, PMCID: 8511136
[94] NCTID: NCT03408730, PMID: 34636914, PMCID: 8511978
[95] NCTID: NCT03931174, PMID: 34635178, PMCID: 8505014
[96] NCTID: NCT04013529, PMID: 34634064, PMCID: 8504760
[97] NCTID: NCT04088409, PMID: 34627340, PMCID: 8502273
[98] NCTID: NCT02910583, PMID: 34618601, PMCID: 8713593
[99] NCTID: NCT03567993, PMID: 34617915, PMCID: 8532014
[100] NCTID: NCT02341625, PMID: 34615718, PMCID: 9401510
[101] NCTID: NCT03725293, PMID: 34613402, PMCID: 8495531
[102] NCTID: NCT03624946, PMID: 34610572, PMCID: 8641324
[103] NCTID: NCT03452943, PMID: 34609495, PMCID: 8493441
[104] NCTID: NCT02703337, PMID: 34605142, PMCID: 9297897
[105] NCTID: NCT03420768, PMID: 34605045, PMCID: 9299674
[106] NCTID: NCT02639065, PMID: 34604072, PMCID: 8484871
[107] NCTID: NCT02917941, PMID: 34599726, PMCID: 8732884
[108] NCTID: NCT02710084, PMID: 34593045, PMCID: 8482590
[109] NCTID: NCT02342691, PMID: 34589083, PMCID: 8475270
[110] NCTID: NCT02954523, PMID: 34568058, PMCID: 8457399
[111] NCTID: NCT04867850, PMID: 34563227, PMCID: 8466719
[112] NCTID: NCT03570658, PMID: 34562067, PMCID: 8742633
[113] NCTID: NCT02846532, PMID: 34558312, PMCID: 8751951
