No,FieldIndex,Explanation,Piece,TargetYN,Except1,Except2,ListYN,IsLeaf,SourceType,IsEnum,Title,Description,Rules,Depth,L1,L2,L3,L4,L5,L6,L7,Idx,Type
1,protocolSection,,ProtocolSection,N,,,N,N,STRUCT,N,Protocol Section,,,1,protocolSection,,,,,,,1,STRUCT - ProtocolSection
2,protocolSection.identificationModule,"Container for basic study identifiers (e.g., NCT ID, titles, sponsor IDs).",IdentificationModule,N,,,N,N,STRUCT,N,Identification Module,,,2,protocolSection,identificationModule,,,,,,1.1,STRUCT - IdentificationModule
3,protocolSection.identificationModule.nctId,"ClinicalTrials.gov Identifier. The format is ""NCT"" followed by an 8-digit number: TEXT (max 11 chars)",NCTId,Y,,,N,Y,TEXT,N,National Clinical Trial (NCT) Identification Number,"The unique identification code given to each clinical study upon registration at ClinicalTrials.gov. The format is ""NCT"" followed by an 8-digit number. Also known as ClinicalTrials.gov Identifier",Generated by PRS when a study is published initially,3,protocolSection,identificationModule,nctId,,,,,1.1.1,TEXT (max 11 chars) - nct
4,protocolSection.identificationModule.nctIdAliases,Alternative identifiers historically tied to the same NCT record.,NCTIdAlias,N,,,Y,Y,TEXT,N,Obsolete or duplicate NCT that's associated with a published NCT,"Identifier(s) that are considered ""Obsolete"" or ""Duplicate"". No study is displayed on public site. Request is redirected/forwarded to another NCT Identifier",,3,protocolSection,identificationModule,nctIdAliases,,,,,1.1.1,TEXT - nct[]
5,protocolSection.identificationModule.orgStudyIdInfo,Container for the sponsor’s internal study identifier details.,OrgStudyIdInfo,N,,,N,N,STRUCT,N,,,,3,protocolSection,identificationModule,orgStudyIdInfo,,,,,1.1.1,STRUCT - OrgStudyIdInfo
6,protocolSection.identificationModule.orgStudyIdInfo.id,organization's unique protocol ID: TEXT (max 30 chars),OrgStudyId,Y,,,N,Y,TEXT,N,Organization's Unique Protocol Identification Number,,"Required for INT/OBS/EA. DP can enter ""Unknown"" or ""TBD"" and Ingest strips those value and marks them as [Missing]",4,protocolSection,identificationModule,orgStudyIdInfo,id,,,,1.1.1.1,TEXT (max 30 chars) - text
7,protocolSection.identificationModule.orgStudyIdInfo.type,"Type/label of the internal sponsor ID (e.g., protocol number).",OrgStudyIdType,N,,,N,Y,TEXT,Y,Organization Id Type,Type of organization's unique protocol ID,,4,protocolSection,identificationModule,orgStudyIdInfo,type,,,,1.1.1.1,TEXT - OrgStudyIdType
8,protocolSection.identificationModule.orgStudyIdInfo.link,"Link/URL associated with the sponsor’s internal ID, if provided.",OrgStudyIdLink,N,,,N,Y,TEXT,N,Organization ID Link,"URL link based on OrgStudyId and OrgStudyIdType input in PRS, include system-generated links to NIH RePORTER, specifically (associated with the types of federal funding identified as OrgStudyIdType)",,4,protocolSection,identificationModule,orgStudyIdInfo,link,,,,1.1.1.1,TEXT - text
9,protocolSection.identificationModule.secondaryIdInfos,Container for non‑NCT additional identifiers.,SecondaryIdInfo,N,,,Y,N,STRUCT,N,,,,3,protocolSection,identificationModule,secondaryIdInfos,,,,,1.1.1,STRUCT - SecondaryIdInfo[]
10,protocolSection.identificationModule.secondaryIdInfos.id,Additional identifier from another registry or sponsor system.,SecondaryId,N,,,N,Y,TEXT,N,Secondary ID,,"If the clinical study is funded in whole or in part by a U.S. Federal Government agency, the complete grant or contract number must be submitted as a Secondary ID.
 Optional if Expanded Access Type is ""Individual Patients""",4,protocolSection,identificationModule,secondaryIdInfos,id,,,,1.1.1.1,TEXT (max 30 chars) - text
11,protocolSection.identificationModule.secondaryIdInfos.type,"Type/category of the secondary identifier (e.g., EudraCT, ISRCTN).",SecondaryIdType,N,,,N,Y,TEXT,Y,Secondary ID Type,,Required if there is Secondary ID,4,protocolSection,identificationModule,secondaryIdInfos,type,,,,1.1.1.1,TEXT - SecondaryIdType
12,protocolSection.identificationModule.secondaryIdInfos.domain,Issuing domain/registry for the secondary identifier.,SecondaryIdDomain,N,,,N,Y,TEXT,N,Secondary ID Description based on ID Type selected,,"If a Secondary ID Type of ""Other Grant/Funding Number,"" ""Registry Identifier,"" or ""Other Identifier"" is selected, provide the name of the funding organization, clinical trial registry, or organization that issued the identifier.",4,protocolSection,identificationModule,secondaryIdInfos,domain,,,,1.1.1.1,TEXT (max 119 chars) - text
13,protocolSection.identificationModule.secondaryIdInfos.link,Link/URL associated with the secondary identifier.,SecondaryIdLink,N,,,N,Y,TEXT,N,Secondary ID Link,"URL link based on SecondaryId and SecondaryIdType, including system-generated links to NIH RePORTER, specifically (associated with the types of federal funding identified as SecondaryIdType)",,4,protocolSection,identificationModule,secondaryIdInfos,link,,,,1.1.1.1,TEXT - text
14,protocolSection.identificationModule.briefTitle,Short title of the study: TEXT (max 300 chars),BriefTitle,Y,,,N,Y,TEXT,N,Brief Title,,Required for INT/OBS/EA. Has to be unique in PRS,3,protocolSection,identificationModule,briefTitle,,,,,1.1.1,TEXT (max 300 chars) - text
15,protocolSection.identificationModule.officialTitle,Full official title of the study: TEXT (max 600 chars),OfficialTitle,Y,,,N,Y,TEXT,N,Official Title,,"Required for INT/OBS if Study Start Date is on or after Final Rule Effective Date (FRED). Optional for EA if EA type is ""Individual Patients""",3,protocolSection,identificationModule,officialTitle,,,,,1.1.1,TEXT (max 600 chars) - text
16,protocolSection.identificationModule.acronym,"Common short name/abbreviation for the study, if any.",Acronym,N,,,N,Y,TEXT,N,Acronym,,,3,protocolSection,identificationModule,acronym,,,,,1.1.1,TEXT (max 14 chars) - text
17,protocolSection.identificationModule.organization,Lead sponsor/organization responsible for the study record.,Organization,N,,,N,N,STRUCT,N,,,,3,protocolSection,identificationModule,organization,,,,,1.1.1,STRUCT - Organization
18,protocolSection.identificationModule.organization.fullName,Name of the sponsoring organization: TEXT,OrgFullName,Y,,,N,Y,TEXT,N,Organization Full Name,A (registered) organization (typically the Responsible Party) that sponsors the clinical trial (study),Provided as part of User Information or Organization Information in a PRS Account,4,protocolSection,identificationModule,organization,fullName,,,,1.1.1.1,TEXT - text
19,protocolSection.identificationModule.organization.class,"Organization type: ENUM (NIH, FED, OTHER_GOV, INDIV, INDUSTRY, NETWORK, AMBIG, OTHER, UNKNOWN)",OrgClass,Y,,,N,Y,TEXT,Y,Organization type,Organization type,Redacted for Withheld studies,4,protocolSection,identificationModule,organization,class,,,,1.1.1.1,TEXT - AgencyClass
20,protocolSection.statusModule,,StatusModule,N,,,N,N,STRUCT,N,Status Module,,,2,protocolSection,statusModule,,,,,,1.1,STRUCT - StatusModule
